3-Hydroxycarbofuran , 2 9 7
Acetamiprid , 5 3 9 11 14
Acibenzolar-S-methyl , 11 2 4 10 13
Alanycarb , 22 8 15 16 20 25
Aldicarb_sulfone , 2 13 14 6
Aldicarb_sulfoxide , 2 13 6
Ametryn , 3 11 5
Aminocarb , 2 7 8 9 10 13 15
Amitraz , 11 2 4 6 13 15 18 20
Azoxystrobin , 27 4 13 30
Benalaxyl , 9 4 7 14 18 20 22
Bendiocarb , 2 9 7
Benfuracarb , 8 5 9 10 13 16 18 19
Benzoximate , 4 3 6 8 15 19 21 24
Bifenazate , 16 2 3 4 5 8 10 12 13 18 19
Bitertanol , 23 8 10 14 16 18 20 25
Boscalid , 3 5 7 8 9 11 16 17 21
Bromuconazole , 10 12
Bupirimate , 16 19 14 7
Buprofezin , 17 6 9 11 13 15
Carbaryl , 2 7 9 11 13 14
Carbendazim , 7 9
Carbetamide , 11 3 13 15 17
Carbofuran , 2 6 7 9 10 12
Carboxin , 6 3 8 10 12 13
Carfentrazone-ethyl , 21 5 10 13 22 24
Chlorantraniliprole , 2 5 6 10 13 17 20 23
Chlorfluazuron , 3 5 8 11 23 24
Chloroxuron , 5 2 8 9 13 14 17 18 19 20
Chlortoluron , 6 2 4 9 12
Clethodim , 18 10 15
Clofentezine , 11 3 4 6 8 9 10 13 15 16 19 20
Clothianidin , 2 8 6
Cyazofamid , 9 2 3 4 6 12 15 16 17 20 21
Cycluron , 6
Cymoxanil , 3 11 6
Cyproconazole , 5 11 7
Cyprodinil , 17 3 8 12 14 16
Cyromazine , 8 1 5
Desmedipham , 15 6 8 10 17 19 21 22
Dicrotophos , 12 10 13 4
Diethofencarb , 8 3 4 5 6 15 17
Difenoconazole , 9 11 12 14
Diflubenzuron , 3 5 14 16 17 20 21
Dimethoate , 2 8 9 6
Dimethomorph , 10 5 8 11 18 19 22 23 24
Dimoxystrobin , 16 2 6 10 11 13 18 21 23
Diniconazole , 19 8 21
Dinotefuran , 14 2 11 13
Dioxacarb , 2 7 11 13 16
Diuron , 6 2 8 10 14
Doramectin , 38 64 34 35 2 6 40 10 12 46 48 16 51 23 60
Emamectin-benzoate_(B1b) , 18 2 34 38 40 8 48 61
Epoxiconazole , 10 12 13 15 17 19
Eprinomectin , 58 64 2 26 39 41 42 10 47 17 55 29 31
Etaconazole , 10 12 13 15 18
Ethiprole , 24 9 5 8
Ethirimol , 10 8
Ethofumesate , 5 3 7 8 10 13 14 15 16
Etoxazole , 26 13 11 5
Fenamidone , 4 8 10 12 14 16 18 20 22
Fenarimol , 12 1 3 5 8 9 14
